Model,MAE,RMSE,combined_error
DeepFM,6.949067579081625,7.228637754903281,7.088852666992453
NeuralNetwork,1.2441983801662606,1.7413379288476678,1.4927681545069642
RandomForest,1.2300203672336267,1.657746214513504,1.4438832908735653
XGBoost,1.2039672055887798,1.6284498778149827,1.4162085417018813
