,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_lambda,mean_test_score,std_test_score,mean_fit_time
74,0.25,1,0.3,24,50,10.0,1.3878359536151625,0.0036568392165739964,3.8019653956095376
75,0.25,1,0.3,24,100,0.1,1.5147553246215828,0.00581178743041234,8.70347515741984
76,0.25,1,0.3,24,100,1.0,1.4562503360375814,0.006354751818016915,8.971839189529419
77,0.25,1,0.3,24,100,10.0,1.3900081998436438,0.0035635031837944137,7.752139647801717
78,0.25,1,0.3,24,300,0.1,1.5157146791287726,0.005780012457320403,22.22862982749939
79,0.25,1,0.3,24,300,1.0,1.4574367196681208,0.005914018380408202,23.898314952850342
80,0.25,1,0.3,24,300,10.0,1.3924781666078918,0.0020206130773691997,24.151901642481487
81,0.25,10,0.05,6,50,0.1,1.4693367597117133,0.000902805118027961,0.8872503439585367
82,0.25,10,0.05,6,50,1.0,1.4705000607445742,0.0018659659291290344,0.9667666753133138
83,0.25,10,0.05,6,50,10.0,1.4789192101566695,0.0017411671294587608,0.8644529183705648
84,0.25,10,0.05,6,100,0.1,1.2772291183955427,0.0009346701986093636,1.7082974116007488
85,0.25,10,0.05,6,100,1.0,1.278016047048463,0.0017223369683020246,1.7040036519368489
86,0.25,10,0.05,6,100,10.0,1.2813403759078972,0.001483716047199383,1.6454614798227947
87,0.25,10,0.05,6,300,0.1,1.2222200410399369,0.0033012469374029303,5.2163160641988116
88,0.25,10,0.05,6,300,1.0,1.2221875981823735,0.0034943268103831793,4.862161159515381
89,0.25,10,0.05,6,300,10.0,1.22034004380348,0.0027384137675101295,5.551184733708699
90,0.25,10,0.05,12,50,0.1,1.4749817910553578,0.0009088832068285819,2.0490894317626953
91,0.25,10,0.05,12,50,1.0,1.469433925703779,0.0007494407635188046,1.8985637029012044
92,0.25,10,0.05,12,50,10.0,1.4768819128180664,0.0023588945973720345,1.3716193040211995
93,0.25,10,0.05,12,100,0.1,1.2958056873874355,0.002749033734427597,3.8782924811045327
94,0.25,10,0.05,12,100,1.0,1.2851145853865822,0.0020725881301241786,3.697307904561361
95,0.25,10,0.05,12,100,10.0,1.2767053295085444,0.0015356503737380684,3.2782935301462808
96,0.25,10,0.05,12,300,0.1,1.2531600267251781,0.0038173121107740503,11.007214228312174
97,0.25,10,0.05,12,300,1.0,1.2422346207745252,0.00465049569917507,11.234186808268229
98,0.25,10,0.05,12,300,10.0,1.2242934402620083,0.004181537586929074,10.13846747080485
99,0.25,10,0.05,24,50,0.1,1.4997132043947843,0.002853570855779713,4.7479259967803955
100,0.25,10,0.05,24,50,1.0,1.4812861092164749,0.0017211324200630588,3.3046775658925376
101,0.25,10,0.05,24,50,10.0,1.478420814658542,0.002355324527622271,1.7418010234832764
102,0.25,10,0.05,24,100,0.1,1.3335896642028955,0.004025752013958072,10.951733271280924
103,0.25,10,0.05,24,100,1.0,1.3067135969697385,0.0024726558806640376,10.356746673583984
104,0.25,10,0.05,24,100,10.0,1.2824188257665121,0.0022409589125882852,6.670117934544881
105,0.25,10,0.05,24,300,0.1,1.2922464693686926,0.0057567987504227,28.98412052790324
106,0.25,10,0.05,24,300,1.0,1.266452148894712,0.004554939182403922,25.474988063176472
107,0.25,10,0.05,24,300,10.0,1.235191849296308,0.004686328899962708,20.950335184733074
108,0.25,10,0.1,6,50,0.1,1.2878830970366917,0.0016064188698155925,0.8706096013387045
109,0.25,10,0.1,6,50,1.0,1.287896983366258,0.0031051992385894467,0.9164524078369141
110,0.25,10,0.1,6,50,10.0,1.291032520789513,0.001653685516602471,0.8516036669413248
111,0.25,10,0.1,6,100,0.1,1.2405799852288892,0.0028221705119057263,1.7100835641225178
112,0.25,10,0.1,6,100,1.0,1.239764398114058,0.003883044721042553,1.6764670213063557
113,0.25,10,0.1,6,100,10.0,1.2394093051133726,0.0005075005588162408,1.5991400877634685
114,0.25,10,0.1,6,300,0.1,1.2232164934226668,0.003620848623018053,4.588199297587077
115,0.25,10,0.1,6,300,1.0,1.2204728312518585,0.004289280077894379,4.598213752110799
116,0.25,10,0.1,6,300,10.0,1.2150949635299775,0.0031071550468636734,4.572737455368042
117,0.25,10,0.1,12,50,0.1,1.3141812999944367,0.004553377180285736,1.904369831085205
118,0.25,10,0.1,12,50,1.0,1.3030836360736677,0.0025112050719287987,1.7724689642588298
119,0.25,10,0.1,12,50,10.0,1.2914281958150664,0.0014572335120081647,1.562546173731486
120,0.25,10,0.1,12,100,0.1,1.2758632360854403,0.0051778327897573735,3.5564328829447427
121,0.25,10,0.1,12,100,1.0,1.2634464609353866,0.003696747809976289,4.876899242401123
122,0.25,10,0.1,12,100,10.0,1.2443359179178022,0.0033224492359838066,3.8212760289510093
123,0.25,10,0.1,12,300,0.1,1.2628054241423106,0.00560877665023057,9.617826143900553
124,0.25,10,0.1,12,300,1.0,1.2513005498059948,0.005056602560050779,9.626972436904907
125,0.25,10,0.1,12,300,10.0,1.2299098032740723,0.005390151133932248,9.398876190185547
126,0.25,10,0.1,24,50,0.1,1.3562839266156101,0.0024844385763859995,5.070580085118611
127,0.25,10,0.1,24,50,1.0,1.3254672616088359,0.0050469579257474825,4.022995074590047
128,0.25,10,0.1,24,50,10.0,1.2978250810839318,0.002795913528910615,2.8231478532155356
129,0.25,10,0.1,24,100,0.1,1.3205435510254833,0.0028089461825924695,9.39788269996643
130,0.25,10,0.1,24,100,1.0,1.2903713052694357,0.006385082627280395,8.231273571650187
131,0.25,10,0.1,24,100,10.0,1.2561231893374956,0.0034360394864559056,6.564247051874797
132,0.25,10,0.1,24,300,0.1,1.3057665149587925,0.0030042732743112976,25.903761943181355
133,0.25,10,0.1,24,300,1.0,1.2784680104145643,0.0068633256697382536,23.61538052558899
134,0.25,10,0.1,24,300,10.0,1.2419560607179887,0.00550541650783713,20.80371332168579
135,0.25,10,0.3,6,50,0.1,1.2662410318169923,0.00428750314937413,0.8922094504038492
136,0.25,10,0.3,6,50,1.0,1.2579786912094468,0.0033943792388367146,0.8353756268819174
137,0.25,10,0.3,6,50,10.0,1.2536142700346051,0.00549929142636651,0.874781608581543
138,0.25,10,0.3,6,100,0.1,1.2571447004700433,0.005649980117099268,1.566327651341756
139,0.25,10,0.3,6,100,1.0,1.2486622590126306,0.0058325773412644345,1.611400842666626
140,0.25,10,0.3,6,100,10.0,1.240358193418885,0.006299213386263272,1.5781937440236409
141,0.25,10,0.3,6,300,0.1,1.2675677449167164,0.007010171802040223,4.39234987894694
142,0.25,10,0.3,6,300,1.0,1.2532909338037939,0.006255145096053951,4.437060197194417
143,0.25,10,0.3,6,300,10.0,1.241640155278806,0.005109039866365258,4.353941996892293
144,0.25,10,0.3,12,50,0.1,1.3379130445769913,0.006312665608713499,1.8597728411356609
145,0.25,10,0.3,12,50,1.0,1.3219236225499837,0.007086830625066814,1.8290143013000488
146,0.25,10,0.3,12,50,10.0,1.2835422224376984,0.005978334091925539,1.788644552230835
147,0.25,10,0.3,12,100,0.1,1.3317366997377527,0.007220855952826878,3.3155346711476645
148,0.25,10,0.3,12,100,1.0,1.3143891435747317,0.008892429833269211,3.33689546585083
149,0.25,10,0.3,12,100,10.0,1.2709443634418196,0.006778305828992915,3.3247973918914795
150,0.25,10,0.3,12,300,0.1,1.3329333139213895,0.006584730786314426,8.878477096557617
151,0.25,10,0.3,12,300,1.0,1.3141209606315014,0.008915993757732148,8.902957677841187
152,0.25,10,0.3,12,300,10.0,1.2717942304867915,0.006478267213816549,8.93489146232605
153,0.25,10,0.3,24,50,0.1,1.3951346895271257,0.003883331359115974,4.740704854329427
154,0.25,10,0.3,24,50,1.0,1.3576180021739905,0.0037617503308746067,4.161748727162679
155,0.25,10,0.3,24,50,10.0,1.3041055417325162,0.004950196341098057,3.6065989335378013
156,0.25,10,0.3,24,100,0.1,1.3884630756993086,0.002554454471583125,8.534996032714844
157,0.25,10,0.3,24,100,1.0,1.3512862886531238,0.004080167703065222,7.947276671727498
158,0.25,10,0.3,24,100,10.0,1.294910092901059,0.007462481091797168,7.240485111872355
159,0.25,10,0.3,24,300,0.1,1.3870944039120665,0.002334510084290338,22.862035910288494
160,0.25,10,0.3,24,300,1.0,1.35231204622066,0.003935330525028995,21.348402341206867
161,0.25,10,0.3,24,300,10.0,1.2965421901642469,0.007040540361243959,20.259175221125286
162,0.5,1,0.05,6,50,0.1,1.390797017612169,0.0022155644861305015,1.0456732908884685
163,0.5,1,0.05,6,50,1.0,1.3916237580136184,0.0021996512677702677,1.0489511489868164
164,0.5,1,0.05,6,50,10.0,1.4030755143219427,0.002298086033171256,1.0501566727956135
165,0.5,1,0.05,6,100,0.1,1.2311077990076986,0.0028437175391847354,1.9554900328318279
166,0.5,1,0.05,6,100,1.0,1.230837853483106,0.002290905409668469,1.9531793594360352
167,0.5,1,0.05,6,100,10.0,1.2334608659655826,0.0016873695989378843,1.9800987243652344
168,0.5,1,0.05,6,300,0.1,1.2125502404107724,0.0024677406606282482,5.614176909128825
169,0.5,1,0.05,6,300,1.0,1.2119215389371782,0.003362671564513326,5.485888481140137
170,0.5,1,0.05,6,300,10.0,1.2097896134749668,0.0028384956501085624,5.592035849889119
171,0.5,1,0.05,12,50,0.1,1.4079983606216222,0.0023977162761151583,2.523192564646403
172,0.5,1,0.05,12,50,1.0,1.4058705595248482,0.0034262366098304115,2.518706957499186
173,0.5,1,0.05,12,50,10.0,1.4033765087209378,0.0031411933181249487,2.19124436378479
174,0.5,1,0.05,12,100,0.1,1.2673704591914694,0.002184601855921931,4.84209140141805
175,0.5,1,0.05,12,100,1.0,1.258912355177933,0.0035378392225840862,5.077391068140666
176,0.5,1,0.05,12,100,10.0,1.2371480679993077,0.0036825444233978496,4.348126411437988
177,0.5,1,0.05,12,300,0.1,1.2714554851208097,0.003818206692793824,13.192529201507568
178,0.5,1,0.05,12,300,1.0,1.2639961522708303,0.005088100194276354,12.744049151738485
179,0.5,1,0.05,12,300,10.0,1.238192311927975,0.003840709299354798,12.477126995722452
180,0.5,1,0.05,24,50,0.1,1.4721592088361442,0.00315049001645217,6.6675388018290205
181,0.5,1,0.05,24,50,1.0,1.4580735007140289,0.004629447883039879,5.070443948109944
182,0.5,1,0.05,24,50,10.0,1.4141377925418055,0.0032069269138241254,3.1732230981191
183,0.5,1,0.05,24,100,0.1,1.333263298911729,0.002772594729979339,13.84617273012797
184,0.5,1,0.05,24,100,1.0,1.3119067857977067,0.003613928747048956,11.78264037768046
185,0.5,1,0.05,24,100,10.0,1.2629948157985946,0.0037346775107266676,9.522920926411947
186,0.5,1,0.05,24,300,0.1,1.3233582190743136,0.002956831973090981,34.15980807940165
187,0.5,1,0.05,24,300,1.0,1.3047176116488233,0.0040953526954176644,32.36076847712199
188,0.5,1,0.05,24,300,10.0,1.269481075888567,0.003807348134485682,29.180821180343628
189,0.5,1,0.1,6,50,0.1,1.2359832239966355,0.0022651323857677866,1.266377607981364
190,0.5,1,0.1,6,50,1.0,1.234763818434299,0.0013493677195521522,1.0549592177073162
191,0.5,1,0.1,6,50,10.0,1.2390922651398195,0.002245767477774882,1.0773650805155437
192,0.5,1,0.1,6,100,0.1,1.218988584587946,0.003811858553364252,2.054711659749349
193,0.5,1,0.1,6,100,1.0,1.217833191285392,0.0018957783101372172,2.002037525177002
194,0.5,1,0.1,6,100,10.0,1.2181531608313254,0.0028504906481398623,1.9738481839497883
195,0.5,1,0.1,6,300,0.1,1.22798535276575,0.004839050750584688,5.6022623380025225
196,0.5,1,0.1,6,300,1.0,1.224832651147608,0.0023715257043497064,5.600967009862264
197,0.5,1,0.1,6,300,10.0,1.2212668212133604,0.004479641094468779,5.587851524353027
198,0.5,1,0.1,12,50,0.1,1.2879996353181347,0.003221649845176928,2.46110200881958
199,0.5,1,0.1,12,50,1.0,1.2730466144174812,0.004255374988370644,2.4817902247111
200,0.5,1,0.1,12,50,10.0,1.2505068824968424,0.004482830687857045,2.2389541467030845
201,0.5,1,0.1,12,100,0.1,1.2900785093839482,0.004322491269174543,4.756758451461792
202,0.5,1,0.1,12,100,1.0,1.2762084999380783,0.004615796682426496,4.651595115661621
203,0.5,1,0.1,12,100,10.0,1.2479013544263153,0.006503696854672066,4.436140616734822
204,0.5,1,0.1,12,300,0.1,1.2977739504071033,0.004566224871620845,11.808223247528076
205,0.5,1,0.1,12,300,1.0,1.2871971234139818,0.004570209863192821,12.033431768417358
206,0.5,1,0.1,12,300,10.0,1.2679187550631876,0.006847306012415084,11.984832763671875
207,0.5,1,0.1,24,50,0.1,1.3562474112941159,0.0022171018882457274,6.972684224446614
208,0.5,1,0.1,24,50,1.0,1.33942172927539,0.00496837292177952,5.977492332458496
209,0.5,1,0.1,24,50,10.0,1.2832943663167693,0.007269110941353068,5.213586489359538
210,0.5,1,0.1,24,100,0.1,1.347537066668365,0.0022568244329098128,12.975607554117838
211,0.5,1,0.1,24,100,1.0,1.3329312291573148,0.0045549965759200724,11.7911856174469
212,0.5,1,0.1,24,100,10.0,1.2865405420574096,0.006738353272976676,10.637838045756022
213,0.5,1,0.1,24,300,0.1,1.3471530774808915,0.0019978729591895424,29.185601711273193
214,0.5,1,0.1,24,300,1.0,1.3333568541235108,0.004486473876758289,27.973394632339478
215,0.5,1,0.1,24,300,10.0,1.292291126683834,0.006370321378234069,27.096410989761353
216,0.5,1,0.3,6,50,0.1,1.2502468067269268,0.002426132918898576,1.0256280104319255
217,0.5,1,0.3,6,50,1.0,1.2456383903091826,0.005266520596583013,1.0677660306294758
218,0.5,1,0.3,6,50,10.0,1.2357932411707997,0.0059339633767385115,1.013330380121867
219,0.5,1,0.3,6,100,0.1,1.2604599211674172,0.0026389607747573283,1.987298568089803
220,0.5,1,0.3,6,100,1.0,1.258830642810586,0.007153682579259483,1.9377580483754475
221,0.5,1,0.3,6,100,10.0,1.2458771215914712,0.005832485653415468,1.9483648141225178
222,0.5,1,0.3,6,300,0.1,1.308904188639355,0.007519803992117407,5.389793872833252
223,0.5,1,0.3,6,300,1.0,1.3047429650801934,0.0064462325037055275,5.469100713729858
224,0.5,1,0.3,6,300,10.0,1.280416328068739,0.009826501959105824,5.46829088528951
225,0.5,1,0.3,12,50,0.1,1.384318477904537,0.009461845969775088,2.3046672344207764
226,0.5,1,0.3,12,50,1.0,1.362233004166523,0.013988285229789827,2.4067277113596597
227,0.5,1,0.3,12,50,10.0,1.314268540673327,0.004255940458720679,2.319767395655314
228,0.5,1,0.3,12,100,0.1,1.3895695411381517,0.009342602078990042,4.342179934183757
229,0.5,1,0.3,12,100,1.0,1.3691361068257593,0.013985686117871947,4.280876159667969
230,0.5,1,0.3,12,100,10.0,1.3287191099671702,0.003170118634532386,4.29707137743632
231,0.5,1,0.3,12,300,0.1,1.3952227337462306,0.00853553937163581,11.086519559224447
232,0.5,1,0.3,12,300,1.0,1.375634072740741,0.012294419306633815,11.438774585723877
233,0.5,1,0.3,12,300,10.0,1.339024188586972,0.0013250935125378924,11.22875459988912
234,0.5,1,0.3,24,50,0.1,1.4336941020540752,0.0057252685353677835,6.295929352442424
235,0.5,1,0.3,24,50,1.0,1.416421824024597,0.007083752836642741,5.872573057810466
236,0.5,1,0.3,24,50,10.0,1.3551913428407412,0.00601262563898029,5.508593479792277
237,0.5,1,0.3,24,100,0.1,1.4336644581150033,0.0054749825859753895,10.89065702756246
238,0.5,1,0.3,24,100,1.0,1.4170442499912783,0.006671339532321666,10.187765757242838
239,0.5,1,0.3,24,100,10.0,1.3585033603284031,0.00545909914317051,9.828861474990845
240,0.5,1,0.3,24,300,0.1,1.4337725921484574,0.0056922074765611355,28.826670090357464
241,0.5,1,0.3,24,300,1.0,1.4179103167069267,0.0063746631633539216,25.153813123703003
242,0.5,1,0.3,24,300,10.0,1.360914164928128,0.005612387337635847,24.98583968480428
243,0.5,10,0.05,6,50,0.1,1.3900301341090546,0.002428690905804958,1.061935027440389
244,0.5,10,0.05,6,50,1.0,1.391955616849728,0.0022399186373203432,1.057172695795695
245,0.5,10,0.05,6,50,10.0,1.4027326595411171,0.0024475820560894337,0.9952473640441895
246,0.5,10,0.05,6,100,0.1,1.2306597440129847,0.002428956039101513,2.021894931793213
247,0.5,10,0.05,6,100,1.0,1.230308227378513,0.0019114624380052534,2.0845489501953125
248,0.5,10,0.05,6,100,10.0,1.232993532221433,0.002650224209789048,1.9773067633310955
249,0.5,10,0.05,6,300,0.1,1.2112274153746732,0.003056328227747866,5.540827512741089
250,0.5,10,0.05,6,300,1.0,1.2109311916521706,0.002309286479474633,5.569058815638225
251,0.5,10,0.05,6,300,10.0,1.2096603452965684,0.0026092363504201348,5.5107185045878095
252,0.5,10,0.05,12,50,0.1,1.3945148124298479,0.0031439515987091676,2.5940678119659424
253,0.5,10,0.05,12,50,1.0,1.391378713769224,0.0041691758084712125,2.407177527745565
254,0.5,10,0.05,12,50,10.0,1.3985315001686631,0.0032600728907536494,1.9775648911794026
255,0.5,10,0.05,12,100,0.1,1.2428407380781554,0.0029013897856612555,4.800802071889241
256,0.5,10,0.05,12,100,1.0,1.2370245283534707,0.0034384099061596347,4.713114579518636
257,0.5,10,0.05,12,100,10.0,1.2274494370609015,0.003367003442775999,4.34828503926595
258,0.5,10,0.05,12,300,0.1,1.2307323136501045,0.0036450028298930987,12.65997083981832
259,0.5,10,0.05,12,300,1.0,1.2247411326208855,0.0045359878606692555,12.459382057189941
260,0.5,10,0.05,12,300,10.0,1.2121102419005068,0.005245482389476818,13.794806003570557
261,0.5,10,0.05,24,50,0.1,1.4178245331371022,0.0028924523037752352,7.446896155675252
262,0.5,10,0.05,24,50,1.0,1.4069898508477152,0.005940472956736795,5.316525459289551
263,0.5,10,0.05,24,50,10.0,1.4015452435767912,0.003029577122883255,3.1438231468200684
264,0.5,10,0.05,24,100,0.1,1.2649617776858069,0.002850364400087993,14.029195308685303
265,0.5,10,0.05,24,100,1.0,1.2515301788414332,0.004674213509475548,11.716710329055786
266,0.5,10,0.05,24,100,10.0,1.2320779849891377,0.004468873965509712,9.330073436101278
267,0.5,10,0.05,24,300,0.1,1.2499831716764946,0.002925409426012476,36.26128816604614
268,0.5,10,0.05,24,300,1.0,1.2395222424753638,0.00617199429544569,32.68428826332092
269,0.5,10,0.05,24,300,10.0,1.2203263815720478,0.004532806432021749,28.969035625457764
270,0.5,10,0.1,6,50,0.1,1.235225566828313,0.0030626593607665296,1.0804862181345622
271,0.5,10,0.1,6,50,1.0,1.2359754617743552,0.001991942679659484,1.1295235951741536
272,0.5,10,0.1,6,50,10.0,1.238653762411043,0.002028523754439998,1.075315793355306
273,0.5,10,0.1,6,100,0.1,1.218354269087369,0.004162181168943111,1.9493823051452637
274,0.5,10,0.1,6,100,1.0,1.2172469425682724,0.0013557389309502396,1.961124340693156
275,0.5,10,0.1,6,100,10.0,1.216562111889569,0.002151251233877019,2.019413391749064
276,0.5,10,0.1,6,300,0.1,1.217285668285558,0.004870035387034046,5.419502258300781
277,0.5,10,0.1,6,300,1.0,1.2156867326296021,0.0005292679896547076,5.425119082132976
278,0.5,10,0.1,6,300,10.0,1.2128516891589722,0.0018842834546481055,5.421215693155925
279,0.5,10,0.1,12,50,0.1,1.257243402470243,0.004712120662531892,2.518057902654012
280,0.5,10,0.1,12,50,1.0,1.2473959750706192,0.0036429371507123525,2.4262496630350747
281,0.5,10,0.1,12,50,10.0,1.2357989675502978,0.003218905449184807,2.2891647020975747
282,0.5,10,0.1,12,100,0.1,1.2474480335898106,0.006212639431248678,4.6904834906260175
283,0.5,10,0.1,12,100,1.0,1.2359544945281893,0.006034851037453181,4.584100008010864
284,0.5,10,0.1,12,100,10.0,1.2211536720265963,0.004946769854509834,4.40731954574585
285,0.5,10,0.1,12,300,0.1,1.246844931888828,0.007071354563229256,11.601077715555826
286,0.5,10,0.1,12,300,1.0,1.2363307882650063,0.005806961679146612,11.665300687154135
287,0.5,10,0.1,12,300,10.0,1.2209851283163562,0.005432509011775251,13.43228030204773
288,0.5,10,0.1,24,50,0.1,1.285526375447726,0.0018971098194437456,8.118910312652588
289,0.5,10,0.1,24,50,1.0,1.2714374057131674,0.004008781275662246,6.038785537083943
290,0.5,10,0.1,24,50,10.0,1.2427125027586223,0.0037881848281324953,4.73541792233785
291,0.5,10,0.1,24,100,0.1,1.2734338560673464,0.0017103562067435785,13.246729373931885
292,0.5,10,0.1,24,100,1.0,1.2597314539487714,0.0037306568002593555,11.87169893582662
293,0.5,10,0.1,24,100,10.0,1.2293813683171444,0.004448232452951825,10.696789026260376
294,0.5,10,0.1,24,300,0.1,1.2715568609317907,0.0016008812121350137,32.87436636288961
295,0.5,10,0.1,24,300,1.0,1.2596337667852875,0.004016382191725777,29.50099317232768
296,0.5,10,0.1,24,300,10.0,1.2321121754013051,0.004704394273353381,26.86303226153056
